package,api
"",org.jcuda:jcudnn
A,com.google.code.gson:gson
BaseA,io.reactivex.rxjava2:rxjava
Jama,gov.nist.math:jama
aQute.bnd.annotation,biz.aQute:bndlib
aQute.bnd.annotation.spi,biz.aQute.bnd:biz.aQute.bnd.annotation
aQute.bnd.osgi,biz.aQute.bnd:biz.aQute.bndlib
agent.org.objectweb.asm,com.alibaba.testable:testable-agent
ai.api,ai.api:libai
ai.api.model,ai.api:libai
ai.api.speech.gcp,ai.api.libai.speech:libai-speech-gcp
ai.api.web,ai.api.libai.web:libai-web-servlet
ai.djl,ai.djl:api
ai.djl.basicdataset.cv.classification,ai.djl:basicdataset
ai.djl.basicmodelzoo.basic,ai.djl:model-zoo
ai.djl.basicmodelzoo.cv.classification,ai.djl:model-zoo
ai.djl.engine,ai.djl:api
ai.djl.inference,ai.djl:api
ai.djl.metric,ai.djl:api
ai.djl.modality,ai.djl:api
ai.djl.ndarray,ai.djl:api
ai.djl.nn,ai.djl:api
ai.djl.repository,ai.djl:api
ai.djl.training,ai.djl:api
ai.djl.translate,ai.djl:api
ai.djl.util,ai.djl:api
ai.onnxruntime,com.microsoft.onnxruntime:onnxruntime
akka,com.typesafe.akka:akka-actor_2.12
akka.actor,com.typesafe.akka:akka-actor_2.12
akka.agent,com.typesafe.akka:akka-agent_2.10
akka.dispatch,com.typesafe.akka:akka-actor_2.10
akka.event,com.typesafe.akka:akka-actor_2.12
akka.japi,com.typesafe.akka:akka-actor_2.10
akka.kafka,com.typesafe.akka:akka-stream-kafka_2.12
akka.kafka.javadsl,com.typesafe.akka:akka-stream-kafka_2.12
akka.kernel,com.typesafe.akka:akka-kernel_2.10
akka.pattern,com.typesafe.akka:akka-actor_2.10
akka.persistence,com.typesafe.akka:akka-persistence-experimental_2.10
akka.remote,com.typesafe.akka:akka-remote_2.10
akka.remote.routing,com.typesafe.akka:akka-remote_2.10
akka.routing,com.typesafe.akka:akka-actor_2.10
akka.serialization,com.typesafe.akka:akka-actor_2.10
akka.stream,com.typesafe.akka:akka-stream_2.12
akka.stream.javadsl,com.typesafe.akka:akka-stream_2.12
akka.testkit,com.typesafe.akka:akka-testkit_2.10
akka.transactor,com.typesafe.akka:akka-transactor_2.10
akka.util,com.typesafe.akka:akka-actor_2.10
android,com.google.android:android
android.accounts,com.squareup:fest-android
android.animation,com.google.android:android
android.annotation,com.google.android:android
android.app,com.squareup:fest-android
android.appwidget,com.google.android:android
android.bluetooth,com.google.android:android
android.content,com.squareup:fest-android
android.content.res,com.squareup:fest-android
android.database,com.squareup:fest-android
android.graphics,com.squareup:fest-android
android.graphics.drawable,com.squareup:fest-android
android.hardware,com.google.android:android
android.inputmethodservice,com.google.android:android
android.location,com.google.android:android
android.media,com.google.android:android
android.net,com.google.android:android
android.nfc,org.robolectric:android-all
android.opengl,com.google.android:android
android.os,com.squareup:fest-android
android.preference,com.squareup:fest-android
