package,count,api
com.jfinal.handler,1,com.jfinal:jfinal
com.mangofactory.swagger.plugin,1,com.mangofactory:swagger-springmvc
com.nimbusds.oauth2.sdk.auth,2,com.nimbusds:oauth2-oidc-sdk
org.apache.commons.validator.routines,9,commons-validator:commons-validator
com.caucho.quercus,1,com.caucho:quercus
cn.dreampie.common.util,1,cn.dreampie:resty-common
org.apache.commons.io.monitor,3,commons-io:commons-io
com.airhacks.afterburner.views,1,com.airhacks:afterburner.fx
org.apache.sling.adapter.annotations,1,org.apache.sling:adapter-annotations
org.bouncycastle.util,14,org.bouncycastle:bcprov-jdk15on
org.apache.rocketmq.client.exception,5,org.apache.rocketmq:rocketmq-client
org.springframework.retry,1,org.springframework.retry:spring-retry
org.apache.uima.analysis_engine,2,org.apache.uima:uimaj-core
com.ctc.wstx.dtd,1,com.fasterxml.woodstox:woodstox-core
com.almasb.fxgl.trade.view,1,com.github.almasb:fxgl-gameplay
com.google.inject.name,14,com.google.inject:guice
com.sun.msv.grammar.trex,1,net.java.dev.msv:msv-core
org.apache.http.impl.conn,49,org.apache.httpcomponents:httpclient
springfox.documentation.swagger2.annotations,44,io.springfox:springfox-swagger2
com.opencsv.enums,1,com.opencsv:opencsv
net.codestory.simplelenium.rules,1,net.code-story:simplelenium
cn.dreampie.orm.transaction,1,cn.dreampie:resty-orm
jakarta.xml.bind.annotation,5,jakarta.xml.bind:jakarta.xml.bind-api
com.almasb.fxgl.pathfinding,1,com.github.almasb:fxgl-entity
com.almasb.fxgl.pathfinding.astar,1,com.github.almasb:fxgl-entity
org.keycloak.component,1,org.keycloak:keycloak-server-spi
com.zaxxer.hikari,28,com.zaxxer:HikariCP
org.springframework.cache,7,org.apache.activemq:activemq-all
com.esri.core.geometry,2,com.esri.geometry:esri-geometry-api
org.brickred.socialauth.exception,1,org.brickred:socialauth
org.sonar.api.batch,11,org.codehaus.sonar:sonar-plugin-api
org.elasticsearch.script,10,org.elasticsearch:elasticsearch
org.javatuples,7,org.javatuples:javatuples
org.apache.http.config,11,org.apache.httpcomponents:httpcore
org.elasticsearch.node,16,org.elasticsearch:elasticsearch
org.java_websocket.handshake,9,org.java-websocket:Java-WebSocket
com.cloudrail.si,1,com.cloudrail:cloudrail-si-java
com.fasterxml.jackson.databind.annotation,49,com.fasterxml.jackson.core:jackson-databind
net.sf.jasperreports.engine,3,net.sf.jasperreports:jasperreports
com.github.springtestdbunit,2,com.github.springtestdbunit:spring-test-dbunit
org.apache.log4j.xml,6,log4j:log4j
com.alibaba.fastjson.parser,20,com.alibaba:fastjson
net.sf.cglib.proxy,27,cglib:cglib
org.keycloak.provider,2,org.keycloak:keycloak-services
com.github.springtestdbunit.annotation,2,com.github.springtestdbunit:spring-test-dbunit
org.junit.jupiter.params.provider,50,org.junit.jupiter:junit-jupiter-params
com.almasb.fxgl.ai.senseai,1,com.github.almasb:fxgl-entity
us.springett.vulndbdatamirror.parser.model,1,us.springett:vulndb-data-mirror
com.qiniu.common,15,com.qiniu:qiniu-java-sdk
com.almasb.fxgl.cutscene.dialogue,1,com.github.almasb:fxgl-gameplay
com.almasb.fxgl.scene3d,2,com.github.almasb:fxgl
org.junit.internal,27,junit:junit
org.bouncycastle.asn1.x509,12,org.bouncycastle:bcprov-jdk15to18
android,30,com.google.android:android
org.springframework.http.converter,10,org.springframework.android:spring-android-rest-template
org.atmosphere.jersey,1,org.atmosphere:atmosphere-jersey
org.eclipse.collections.api.block,2,org.eclipse.collections:eclipse-collections-api
com.alibaba.druid.pool,21,com.alibaba:druid
com.cloudrail.si.interfaces,1,com.cloudrail:cloudrail-si-java
net.dempsy.container,1,net.dempsy:dempsy-framework.core
org.hibernate.resource,2,org.hibernate:hibernate-core
org.simplejavamail.mailer,2,org.simplejavamail:simple-java-mail
org.apache.commons.lang3.builder,64,org.apache.commons:commons-lang3
lombok.experimental,45,org.projectlombok:lombok
com.alibaba.excel.context,3,com.alibaba:easyexcel
org.bson,19,org.mongodb:bson
com.nimbusds.jose,4,com.nimbusds:nimbus-jose-jwt
org.simpleframework.http,2,org.simpleframework:simple
kong.unirest,6,com.konghq:unirest-java
org.cornutum.regexpgen,1,org.cornutum.regexp:regexp-gen
org.eclipse.jgit.util.io,2,org.eclipse.jgit:org.eclipse.jgit
org.fusesource,2,jline:jline
org.openqa.selenium.htmlunit,4,org.seleniumhq.selenium:htmlunit-driver
org.apache.royale.abc,1,org.apache.royale.compiler:compiler
org.springframework.context.annotation,50,org.springframework:spring-context
com.maxmind.geoip2,5,com.maxmind.geoip2:geoip2
org.roaringbitmap,1,com.clickhouse:org.roaringbitmap
com.github.dreamhead.moco.junit,1,com.github.dreamhead:moco-junit
org.hibernate.mapping,3,org.hibernate:hibernate-core
