repositoryName,packages
0opslab/opslabJutil,"[lombok,org.slf4j,org.apache.commons.net.ftp,org.junit,org.apache.commons.net,junit.framework,net.sourceforge.pinyin4j.format,com.google,com.fasterxml.jackson.databind,net.sourceforge.pinyin4j]"
151376liujie/wechat-core,"[lombok,org.springframework.beans.factory,org.springframework.test.context,com.thoughtworks.xstream,com.thoughtworks.xstream.io,org.springframework.web.bind,org.apache.commons.beanutils,com.google,org.springframework.test.context.junit4,org.springframework.stereotype,org.apache.http.client.methods,org.springframework.context,org.springframework.beans,com.thoughtworks.xstream.annotations,org.junit.runner,org.junit,org.apache.http.impl.client,com.thoughtworks.xstream.core,com.fasterxml.jackson.databind,org.apache.commons.lang3.builder,org.apache.commons.lang3,lombok.extern,org.apache.commons.io]"
1991wangliang/springboot-ddd-demo,[com.codingapi.simplemybatis.mapper]
1ssqq1lxr/iot-harbor,"[lombok,reactor.util,com.google,reactor.netty.udp,lombok.experimental,reactor.netty,io.netty.handler.codec.mqtt,org.junit,reactor.core,reactor.core.publisher,reactor.netty.resources,reactor.netty.tcp,reactor.core.scheduler,lombok.extern]"
201206030/fiction/house,"[org.apache.http.client.utils,org.apache.http.conn.ssl,org.apache.http.impl.client,org.apache.http.config,org.apache.http.impl.conn,org.apache.http.conn.socket,org.apache.http.ssl,org.apache.commons.text]"
3pillarlabs/socialauth,"[org.springframework.web.servlet,org.mortbay.jetty,org.brickred.socialauth,org.apache.commons.logging,org.apache.struts2.convention.annotation,org.brickred.socialauth.exception,org.mortbay.jetty.handler,org.springframework.web.bind,org.brickred.socialauth.cdi,de.deltatree.social.web.filter.api,org.codehaus.jackson.map,org.springframework.stereotype,org.json,org.brickred.socialauth.util,org.slf4j,org.apache.struts2.views,org.apache.struts2.interceptor,org.brickred.socialauth.plugin,org.brickred.socialauth.spring.bean,org.apache.log4j,org.apache.struts2]"
4pr0n/ripme,"[org.jsoup.select,org.apache.commons.configuration,org.jsoup.nodes,org.apache.commons.cli,junit.framework,org.jsoup.safety,org.apache.log4j,org.jsoup,org.json,org.apache.commons.io]"
4thline/cling,"[org.gstreamer,org.gstreamer.swing,android.widget,android.os,org.eclipse.jetty.client,org.xmlpull.v1,org.eclipse.jetty.servlet,org.testng,org.testng.annotations,org.gstreamer.media,org.eclipse.jetty.server.bio,android.view,org.jboss.weld.environment.se,android.net,org.gstreamer.lowlevel,android.graphics,android.content,org.eclipse.jetty.server,android.app,android,android.util]"
648540858/wvp-GB28181-pro,"[org.dom4j.io,oshi.util,com.alibaba.excel,com.alibaba.fastjson,okhttp3,com.alibaba.excel.read,org.mitre.dsmiley.httpproxy,com.alibaba.excel.event,com.google,gov.nist.core,org.dom4j,com.alibaba.excel.annotation,oshi.hardware,com.alibaba.fastjson.serializer,oshi,com.alibaba.excel.context,gov.nist.javax.sip,oshi.software,com.alibaba.fastjson.parser,com.alibaba.fastjson.annotation,redis.clients.jedis]"
864381832/xJavaFxTool,"[lombok,org.junit,junit.framework,lombok.extern]"
88250/solo,"[org.yaml.snakeyaml,org.jsoup.nodes,org.testng,org.testng.annotations,org.jsoup.parser,org.json,org.jsoup.select,org.b3log.latke,org.apache.commons.cli,org.jsoup.safety,jodd.http,org.jsoup,jodd.http.net,eu.bitwalker.useragentutils,org.owasp.encoder,com.vdurmont.emoji]"
88250/symphony,"[org.elasticsearch.action,org.jsoup.nodes,com.qiniu.http,com.qiniu.storage,org.elasticsearch.index,com.qiniu.util,org.testng,org.testng.annotations,org.jsoup.parser,org.json,com.qiniu.common,org.jsoup.select,org.b3log.latke,org.apache.commons.cli,org.jsoup.safety,jodd.http,org.jsoup,eu.bitwalker.useragentutils,org.owasp.encoder,com.vdurmont.emoji]"
94fzb/zrlog,"[com.jfinal.kit,org.jsoup.nodes,com.hibegin.common.util.http,net.coobird.thumbnailator,net.coobird.thumbnailator.resizers,org.htmlcleaner,org.apache.http.client.methods,org.jsoup.select,org.apache.catalina,org.junit,com.jfinal.aop,com.jfinal.upload,org.jsoup.safety,org.commonmark.parser,com.jfinal.core,org.apache.catalina.startup,com.jfinal.config,com.jfinal.render,com.jfinal.template,com.jfinal.plugin,com.google,com.jfinal.plugin.activerecord,org.slf4j,com.jfinal.json,com.jfinal.plugin.hikaricp,org.commonmark.node,org.commonmark.renderer,org.jsoup,com.jfinal.handler,eu.bitwalker.useragentutils,org.apache.http.conn.util,com.hibegin.common.util]"
Aconex/scrutineer,"[org.joda.time.format,org.elasticsearch.action,org.hamcrest,org.elasticsearch.client,org.apache.commons.lang3.tuple,org.elasticsearch.index,org.joda.time,com.google,com.fasterxml.jackson.core,org.hsqldb,org.elasticsearch.xpack.client,org.dbunit,org.elasticsearch.node,org.elasticsearch.plugins,org.elasticsearch.cluster,org.dbunit.dataset,com.fasterxml.sort,org.junit.runner,org.hamcrest.core,org.junit,org.elasticsearch.common,com.fasterxml.jackson.databind,com.beust.jcommander,org.apache.commons.lang3.builder,org.apache.commons.lang3,org.elasticsearch.search]"
AdamBien/afterburner.fx,"[org.junit,org.hamcrest,org.mockito]"
AdamBien/lightfish,"[org.mockito.invocation,org.junit,org.hamcrest,junit.framework,org.mockito,com.airhacks.afterburner.injection,com.airhacks.afterburner.views,org.mockito.stubbing]"
Adobe-Consulting-Services/acs-aem-samples,"[org.apache.sling.models.annotations,org.slf4j,org.osgi.service.metatype.annotations,org.apache.sling.models.annotations.injectorspecific,org.osgi.service.component,org.apache.sling.servlets.annotations,org.apache.sling.adapter.annotations,org.osgi.service.component.annotations,org.osgi.service.event]"
Adobe-Consulting-Services/acs-aem-tools,"[org.apache.commons.io,org.mockito.runners,ch.qos.logback.classic,com.adobe.acs.commons.util,org.hamcrest,org.osgi.service.component,org.mockito,com.google,com.day.cq.search,org.joda.time.base,org.osgi.framework,org.slf4j,org.junit.runner,com.day.cq.search.result,org.junit,org.apache.felix.scr.annotations.sling,junit.framework,org.apache.felix.scr.annotations,aQute.bnd.annotation,io.netty.handler.codec.http,io.netty.handler.codec.http.websocketx,org.apache.commons.lang,org.osgi.service.event,org.joda.time.format]"
AdoptOpenJDK/jdk9-jigsaw,"[com.canoo.dolphin.server.spring,org.junit.jupiter.api,spark,org.mockito,com.fasterxml.jackson.databind,org.mockito.stubbing]"
AdoptOpenJDK/jitwatch,"[com.chrisnewland.freelogj,org.junit]"
AdoptOpenJDK/mjprof,"[org.junit,junit.framework,org.reflections]"
